40|1|13|5|abioud|605
40|1|13|6|abioud|605
40|1|13|7|de|13653
40|1|13|8|egennhsen|1735
40|1|13|9|ton|1
40|1|13|10|eliakim|3587
40|1|13|11|eliakim|3587
40|1|13|12|de|13653
40|1|13|13|egennhsen|1735
40|1|13|14|ton|1
40|1|13|15|azwr|1513
40|1|14|1|azwr|1513
40|1|14|2|de|13653
40|1|14|3|egennhsen|1735
40|1|14|4|ton|1
40|1|14|5|sadwk|18384
40|1|14|6|sadwk|18384
40|1|14|7|de|13653
40|1|14|8|egennhsen|1735
40|1|14|9|ton|1
40|1|14|10|acim|665
40|1|14|11|acim|665
40|1|14|12|de|13653
40|1|14|13|egennhsen|1735
40|1|14|14|ton|1
40|1|14|15|elioud|3589
40|1|15|1|elioud|3589
40|1|15|2|de|13653
40|1|15|3|egennhsen|1735
40|1|15|4|ton|1
40|1|15|5|eleazar|3579
40|1|15|6|eleazar|3579
40|1|15|7|de|13653
40|1|15|8|egennhsen|1735
40|1|15|9|ton|1
40|1|15|10|matqan|9400
40|1|15|11|matqan|9400
40|1|15|12|de|13653
40|1|15|13|egennhsen|1735
40|1|15|14|ton|1
40|1|15|15|iakwb|8651
40|1|16|1|iakwb|8651
40|1|16|2|de|13653
40|1|16|3|egennhsen|1735
40|1|16|4|ton|1
40|1|16|5|iwshf|8693
40|1|16|6|ton|13085
40|1|16|7|andra|7070
40|1|16|8|marias|10327
40|1|16|9|ex|10919
40|1|16|10|hs|16953
40|1|16|11|egennhqh|15994
40|1|16|12|ihsous|8670
40|1|16|13|o|13406
40|1|16|14|legomenos|1786
40|1|16|15|cristos|2536
40|1|17|1|pasai|767
40|1|17|2|oun|13699
40|1|17|3|ai|13085
40|1|17|4|geneai|4352
40|1|17|5|apo|4223
40|1|17|6|abraam|629
40|1|17|7|ews|14590
40|1|17|8|dauid|2924
40|1|17|9|geneai|4352
40|1|17|10|dekatessares|4202
40|1|17|11|kai|961
40|1|17|12|apo|4223
40|1|17|13|dauid|2923
40|1|17|14|ews|15792
40|1|17|15|ths|13085
40|1|17|16|metoikesias|2452
40|1|17|17|babulwnos|14650
40|1|17|18|geneai|4352
40|1|17|19|dekatessares|4202
40|1|17|20|kai|961
40|1|17|21|apo|4223
40|1|17|22|ths|13085
40|1|17|23|metoikesias|2452
40|1|17|24|babulwnos|14650
40|1|17|25|ews|15792
40|1|17|26|tou|13085
40|1|17|27|cristou|2536
40|1|17|28|geneai|4352
40|1|17|29|dekatessares|4202
40|1|18|1|tou|1
40|1|18|2|de|9886
40|1|18|3|ihsou|10262
40|1|18|4|cristou|2536
40|1|18|5|h|13085
40|1|18|6|genesis|2054
40|1|18|7|outws|14569
40|1|18|8|hn|2396
40|1|18|9|mnhsteuqeishs|5312
40|1|18|10|ths|13085
40|1|18|11|mhtros|9703
40|1|18|12|autou|10216
40|1|18|13|marias|9387
40|1|18|14|tw|1
40|1|18|15|iwshf|15095
40|1|18|16|prin|1704
40|1|18|17|h|11468
40|1|18|18|sunelqein|2636
40|1|18|19|autous|10643
40|1|18|20|eureqh|12261
40|1|18|21|en|7760
40|1|18|22|gastri|17616
40|1|18|23|ecousa|5118
40|1|18|24|ek|10919
40|1|18|25|pneumatos|13541
40|1|18|26|agiou|6999
40|1|19|1|iwshf|8693
40|1|19|2|de|9886
40|1|19|3|o|13085
40|1|19|4|anhr|7070
40|1|19|5|auths|10211
40|1|19|6|dikaios|11678
40|1|19|7|wn|1751
40|1|19|8|kai|961
40|1|19|9|mh|9858
40|1|19|10|qelwn|17408
40|1|19|11|authn|6916
40|1|19|12|deigmatisai|14952
40|1|19|13|eboulhqh|11383
40|1|19|14|laqra|11886
40|1|19|15|apolusai|15319
40|1|19|16|authn|6916
40|1|20|1|tauta|13705
40|1|20|2|de|9886
40|1|20|3|autou|10216
40|1|20|4|enqumhqentos|5723
40|1|20|5|idou|1747
40|1|20|6|aggelos|892
