40:1:14|1|azwr|G107
40:1:14|2|de|G1161
40:1:14|3|egennhsen|G1080
40:1:14|4|ton|G3588
40:1:14|5|sadwk|G4524
40:1:14|6|sadwk|G4524
40:1:14|7|de|G1161
40:1:14|8|egennhsen|G1080
40:1:14|9|ton|G3588
40:1:14|10|aceim|G885
40:1:14|11|aceim|G885
40:1:14|12|de|G1161
40:1:14|13|egennhsen|G1080
40:1:14|14|ton|G3588
40:1:14|15|elioud|G1664
40:1:15|1|elioud|G1664
40:1:15|2|de|G1161
40:1:15|3|egennhsen|G1080
40:1:15|4|ton|G3588
40:1:15|5|eleazar|G1648
40:1:15|6|eleazar|G1648
40:1:15|7|de|G1161
40:1:15|8|egennhsen|G1080
40:1:15|9|ton|G3588
40:1:15|10|maqqan|G3157
40:1:15|11|maqqan|G3157
40:1:15|12|de|G1161
40:1:15|13|egennhsen|G1080
40:1:15|14|ton|G3588
40:1:15|15|iakwb|G2384
40:1:16|1|iakwb|G2384
40:1:16|2|de|G1161
40:1:16|3|egennhsen|G1080
40:1:16|4|ton|G3588
40:1:16|5|iwshf|G2501
40:1:16|6|ton|G3588
40:1:16|7|andra|G435
40:1:16|8|marias|G3137
40:1:16|9|ex|G1537
40:1:16|10|hs|G3739
40:1:16|11|egennhqh|G1080
40:1:16|12|ihsous|G2424
40:1:16|13|o|G3588
40:1:16|14|legomenos|G3004
40:1:16|15|cristos|G5547
40:1:17|1|pasai|G3956
40:1:17|2|oun|G3767
40:1:17|3|ai|G3588
40:1:17|4|geneai|G1074
40:1:17|5|apo|G575
40:1:17|6|abraam|G11
40:1:17|7|ews|G2193
40:1:17|8|daueid|G1138
40:1:17|9|geneai|G1074
40:1:17|10|dekatessares|G1180
40:1:17|11|kai|G2532
40:1:17|12|apo|G575
40:1:17|13|daueid|G1138
40:1:17|14|ews|G2193
40:1:17|15|ths|G3588
40:1:17|16|metoikesias|G3350
40:1:17|17|babulwnos|G897
40:1:17|18|geneai|G1074
40:1:17|19|dekatessares|G1180
40:1:17|20|kai|G2532
40:1:17|21|apo|G575
40:1:17|22|ths|G3588
40:1:17|23|metoikesias|G3350
40:1:17|24|babulwnos|G897
40:1:17|25|ews|G2193
40:1:17|26|tou|G3588
40:1:17|27|cristou|G5547
40:1:17|28|geneai|G1074
40:1:17|29|dekatessares|G1180
40:1:18|1|tou|G3588
40:1:18|2|de|G1161
40:1:18|3|ihsou|G2424
40:1:18|4|cristou|G5547
40:1:18|5|h|G3588
40:1:18|6|genesis|G1078
40:1:18|7|outws|G3779
40:1:18|8|hn|G1510
40:1:18|9|mnhsteuqeishs|G3423
40:1:18|10|ths|G3588
40:1:18|11|mhtros|G3384
40:1:18|12|autou|G846
40:1:18|13|marias|G3137
40:1:18|14|tw|G3588
40:1:18|15|iwshf|G2501
40:1:18|16|prin|G4250
40:1:18|17|h|G2228
40:1:18|18|sunelqein|G4905
40:1:18|19|autous|G846
40:1:18|20|eureqh|G2147
40:1:18|21|en|G1722
40:1:18|22|gastri|G1064
40:1:18|23|ecousa|G2192
40:1:18|24|ek|G1537
40:1:18|25|pneumatos|G4151
40:1:18|26|agiou|G40
40:1:19|1|iwshf|G2501
40:1:19|2|de|G1161
40:1:19|3|o|G3588
40:1:19|4|anhr|G435
40:1:19|5|auths|G846
40:1:19|6|dikaios|G1342
40:1:19|7|wn|G1510
40:1:19|8|kai|G2532
40:1:19|9|mh|G3361
40:1:19|10|qelwn|G2309
40:1:19|11|authn|G846
40:1:19|12|deigmatisai|G1165
40:1:19|13|eboulhqh|G1014
40:1:19|14|laqra|G2977
40:1:19|15|apolusai|G630
40:1:19|16|authn|G846
40:1:20|1|tauta|G3778
40:1:20|2|de|G1161
40:1:20|3|autou|G846
40:1:20|4|enqumhqentos|G1760
40:1:20|5|idou|G3708
40:1:20|6|aggelos|G32
40:1:20|7|kuriou|G2962
40:1:20|8|kat|G2596
40:1:20|9|onar|G3677
40:1:20|10|efanh|G5316
40:1:20|11|autw|G846
40:1:20|12|legwn|G3004
40:1:20|13|iwshf|G2501
40:1:20|14|uios|G5207
40:1:20|15|daueid|G1138
40:1:20|16|mh|G3361
40:1:20|17|fobhqhs|G5399
40:1:20|18|paralabein|G3880
40:1:20|19|marian|G3137
40:1:20|20|thn|G3588
40:1:20|21|gunaika|G1135
40:1:20|22|sou|G4771
40:1:20|23|to|G3588
40:1:20|24|gar|G1063
40:1:20|25|en|G1722
40:1:20|26|auth|G846
40:1:20|27|gennhqen|G1080
40:1:20|28|ek|G1537
40:1:20|29|pneumatos|G4151
40:1:20|30|estin|G1510
40:1:20|31|agiou|G40
40:1:21|1|texetai|G5088
40:1:21|2|de|G1161
40:1:21|3|uion|G5207
40:1:21|4|kai|G2532
40:1:21|5|kaleseis|G2564
40:1:21|6|to|G3588
40:1:21|7|onoma|G3686
40:1:21|8|autou|G846
40:1:21|9|ihsoun|G2424
40:1:21|10|autos|G846
40:1:21|11|gar|G1063
40:1:21|12|swsei|G4982
40:1:21|13|ton|G3588
40:1:21|14|laon|G2992
40:1:21|15|autou|G846
40:1:21|16|apo|G575
40:1:21|17|twn|G3588
40:1:21|18|amartiwn|G266
40:1:21|19|autwn|G846
40:1:22|1|touto|G3778
40:1:22|2|de|G1161
40:1:22|3|olon|G3650
40:1:22|4|gegonen|G1096
40:1:22|5|ina|G2443
40:1:22|6|plhrwqh|G4137
40:1:22|7|to|G3588
40:1:22|8|rhqen|G2046
40:1:22|9|upo|G5259
40:1:22|10|kuriou|G2962
40:1:22|11|dia|G1223
40:1:22|12|tou|G3588
40:1:22|13|profhtou|G4396
40:1:22|14|legontos|G3004
40:1:23|1|idou|G3708
40:1:23|2|h|G3588
40:1:23|3|parqenos|G3933
40:1:23|4|en|G1722
40:1:23|5|gastri|G1064
40:1:23|6|exei|G2192
40:1:23|7|kai|G2532
40:1:23|8|texetai|G5088
40:1:23|9|uion|G5207
40:1:23|10|kai|G2532
40:1:23|11|kalesousin|G2564
40:1:23|12|to|G3588
40:1:23|13|onoma|G3686
40:1:23|14|autou|G846
40:1:23|15|emmanouhl|G1694
40:1:23|16|o|G3739
40:1:23|17|estin|G1510
40:1:23|18|meqermhneuomenon|G3177
40:1:23|19|meq|G3326
40:1:23|20|hmwn|G1473
40:1:23|21|o|G3588
40:1:23|22|qeos|G2316
40:1:24|1|egerqeis|G1453
40:1:24|2|de|G1161
40:1:24|3|o|G3588
40:1:24|4|iwshf|G2501
40:1:24|5|apo|G575
40:1:24|6|tou|G3588
40:1:24|7|upnou|G5258
40:1:24|8|epoihsen|G4160
40:1:24|9|ws|G5613
40:1:24|10|prosetaxen|G4367
40:1:24|11|autw|G846
40:1:24|12|o|G3588
40:1:24|13|aggelos|G32
40:1:24|14|kuriou|G2962
40:1:24|15|kai|G2532
40:1:24|16|parelaben|G3880
40:1:24|17|thn|G3588
40:1:24|18|gunaika|G1135
40:1:24|19|autou|G846
40:1:25|1|kai|G2532
40:1:25|2|ouk|G3756
40:1:25|3|eginwsken|G1097
40:1:25|4|authn|G846
40:1:25|5|ews|G2193
40:1:25|6|ou|G3739
40:1:25|7|eteken|G5088
40:1:25|8|uion|G5207
40:1:25|9|kai|G2532
40:1:25|10|ekalesen|G2564
40:1:25|11|to|G3588
40:1:25|12|onoma|G3686
40:1:25|13|autou|G846
40:1:25|14|ihsoun|G2424
40:2:1|1|tou|G3588
40:2:1|2|de|G1161
40:2:1|3|ihsou|G2424
40:2:1|4|gennhqentos|G1080
40:2:1|5|en|G1722
40:2:1|6|bhqleem|G965
40:2:1|7|ths|G3588
40:2:1|8|ioudaias|G2449
40:2:1|9|en|G1722
40:2:1|10|hmerais|G2250
40:2:1|11|hrwdou|G2264
40:2:1|12|tou|G3588
40:2:1|13|basilews|G935
40:2:1|14|idou|G3708
40:2:1|15|magoi|G3097
40:2:1|16|apo|G575
40:2:1|17|anatolwn|G395
40:2:1|18|paregenonto|G3854
40:2:1|19|eis|G1519
40:2:1|20|ierosoluma|G2414
40:2:2|1|legontes|G3004
40:2:2|2|pou|G4226
40:2:2|3|estin|G1510
40:2:2|4|o|G3588
40:2:2|5|tecqeis|G5088
40:2:2|6|basileus|G935
40:2:2|7|twn|G3588
40:2:2|8|ioudaiwn|G2453
40:2:2|9|eidomen|G3708
40:2:2|10|gar|G1063
40:2:2|11|autou|G846
40:2:2|12|ton|G3588
40:2:2|13|astera|G792
40:2:2|14|en|G1722
40:2:2|15|th|G3588
40:2:2|16|anatolh|G395
40:2:2|17|kai|G2532
40:2:2|18|hlqomen|G2064
40:2:2|19|proskunhsai|G4352
40:2:2|20|autw|G846
40:2:3|1|akousas|G191
40:2:3|2|de|G1161
40:2:3|3|o|G3588
40:2:3|4|basileus|G935
40:2:3|5|hrwdhs|G2264
40:2:3|6|etaracqh|G5015
40:2:3|7|kai|G2532
40:2:3|8|pasa|G3956
40:2:3|9|ierosoluma|G2414
40:2:3|10|met|G3326
40:2:3|11|autou|G846
40:2:4|1|kai|G2532
40:2:4|2|sunagagwn|G4863
40:2:4|3|pantas|G3956
40:2:4|4|tous|G3588
40:2:4|5|arciereis|G749
40:2:4|6|kai|G2532
40:2:4|7|grammateis|G1122
40:2:4|8|tou|G3588
40:2:4|9|laou|G2992
40:2:4|10|epunqaneto|G4441
40:2:4|11|par|G3844
40:2:4|12|autwn|G846
40:2:4|13|pou|G4226
40:2:4|14|o|G3588
40:2:4|15|cristos|G5547
40:2:4|16|gennatai|G1080
40:2:5|1|oi|G3588
40:2:5|2|de|G1161
40:2:5|3|eipan|G3004
40:2:5|4|autw|G846
40:2:5|5|en|G1722
40:2:5|6|bhqleem|G965
40:2:5|7|ths|G3588
40:2:5|8|ioudaias|G2449
40:2:5|9|outws|G3779
40:2:5|10|gar|G1063
40:2:5|11|gegraptai|G1125
40:2:5|12|dia|G1223
40:2:5|13|tou|G3588
40:2:5|14|profhtou|G4396
40:2:6|1|kai|G2532
40:2:6|2|su|G4771
40:2:6|3|bhqleem|G965
40:2:6|4|gh|G1093
40:2:6|5|iouda|G2448
40:2:6|6|oudamws|G3760
40:2:6|7|elacisth|G1646
40:2:6|8|ei|G1510
40:2:6|9|en|G1722
40:2:6|10|tois|G3588
40:2:6|11|hgemosin|G2232
40:2:6|12|iouda|G2448
40:2:6|13|ek|G1537
40:2:6|14|sou|G4771
40:2:6|15|gar|G1063
40:2:6|16|exeleusetai|G1831
40:2:6|17|hgoumenos|G2233
40:2:6|18|ostis|G3748
40:2:6|19|poimanei|G4165
40:2:6|20|ton|G3588
40:2:6|21|laon|G2992
40:2:6|22|mou|G1473
40:2:6|23|ton|G3588
40:2:6|24|israhl|G2474
40:2:7|1|tote|G5119
40:2:7|2|hrwdhs|G2264
40:2:7|3|laqra|G2977
40:2:7|4|kalesas|G2564
40:2:7|5|tous|G3588
40:2:7|6|magous|G3097
40:2:7|7|hkribwsen|G198
40:2:7|8|par|G3844
40:2:7|9|autwn|G846
40:2:7|10|ton|G3588
40:2:7|11|cronon|G5550
40:2:7|12|tou|G3588
40:2:7|13|fainomenou|G5316
40:2:7|14|asteros|G792
